#,Name   ,Type   ,Kind,Power,Accuracy,PP   
1,Pound,Normal,Physical,40,100%,35.0
2,Karate Chop,Fighting,Physical,50,100%,25.0
3,DoubleSlap,Normal,Physical,15,85%,10.0
4,Comet Punch,Normal,Physical,18,85%,15.0
5,Mega Punch,Normal,Physical,80,85%,20.0
6,Pay Day,Normal,Physical,40,100%,20.0
7,Fire Punch,Fire,Physical,75,100%,15.0
8,Ice Punch,Ice,Physical,75,100%,15.0
9,ThunderPunch,Electric,Physical,75,100%,15.0
10,Scratch,Normal,Physical,40,100%,35.0
11,ViceGrip,Normal,Physical,55,100%,30.0
12,Guillotine,Normal,Physical,0,30%,5.0
13,Razor Wind,Normal,Special,80,100%,10.0
14,Swords Dance,Normal,Status,0,,30.0
15,Cut,Normal,Physical,50,95%,30.0
16,Gust,Flying,Special,40,100%,35.0
17,Wing Attack,Flying,Physical,60,100%,35.0
18,Whirlwind,Normal,s+,0,100%,20.0
19,Fly,Flying,Physical,90,95%,15.0
20,Bind,Normal,Physical,15,85%,20.0
21,Slam,Normal,Physical,80,75%,20.0
22,Vine Whip,Grass,Physical,35,100%,15.0
23,Stomp,Normal,Physical,65,100%,20.0
24,Double Kick,Fighting,Physical,30,100%,30.0
25,Mega Kick,Normal,Physical,120,75%,5.0
26,Jump Kick,Fighting,Physical,100,95%,10.0
27,Rolling Kick,Fighting,Physical,60,85%,15.0
28,Sand-Attack,Ground,acc-,0,100%,15.0
29,Headbutt,Normal,Physical,70,100%,15.0
30,Horn Attack,Normal,Physical,65,100%,25.0
31,Fury Attack,Normal,Physical,15,85%,20.0
32,Horn Drill,Normal,Physical,0,30%,5.0
33,Tackle,Normal,Physical,50,100%,35.0
34,Body Slam,Normal,Physical,85,100%,15.0
35,Wrap,Normal,Physical,15,90%,20.0
36,Take Down,Normal,Physical,90,85%,20.0
37,Thrash,Normal,Physical,120,100%,10.0
38,Double-Edge,Normal,Physical,120,100%,15.0
39,Tail Whip,Normal,d-,0,100%,30.0
40,Poison Sting,Poison,Physical,15,100%,35.0
41,Twineedle,Bug,Physical,25,100%,20.0
42,Pin Missile,Bug,Physical,14,85%,20.0
43,Leer,Normal,d-,0,100%,30.0
44,Bite,Dark,Physical,60,100%,25.0
45,Growl,Normal,a-,0,100%,40.0
46,Roar,Normal,Status,0,100%,20.0
47,Sing,Normal,Status,0,55%,15.0
48,Supersonic,Normal,Status,0,55%,20.0
49,SonicBoom,Normal,Special,20,90%,20.0
50,Disable,Normal,d-,0,100%,20.0
51,Acid,Poison,Special,40,100%,30.0
52,Ember,Fire,Special,40,100%,25.0
53,Flamethrower,Fire,Special,95,100%,15.0
54,Mist,Ice,d+,0,,30.0
55,Water Gun,Water,Special,40,100%,25.0
56,Hydro Pump,Water,Special,120,80%,5.0
57,Surf,Water,Special,95,100%,15.0
58,Ice Beam,Ice,Special,95,100%,10.0
59,Blizzard,Ice,Special,120,70%,5.0
60,Psybeam,Psychic,Special,65,100%,20.0
61,BubbleBeam,Water,Special,65,100%,20.0
62,Aurora Beam,Ice,Special,65,100%,20.0
63,Hyper Beam,Normal,Special,150,90%,5.0
64,Peck,Flying,Physical,35,100%,35.0
65,Drill Peck,Flying,Physical,80,100%,20.0
66,Submission,Fighting,Physical,80,80%,25.0
67,Low Kick,Fighting,Physical,50,100%,20.0
68,Counter,Fighting,Physical,50,100%,20.0
69,Seismic Toss,Fighting,Physical,50,100%,20.0
70,Strength,Normal,Physical,80,100%,15.0
71,Absorb,Grass,Special,20,100%,25.0
72,Mega Drain,Grass,Special,40,100%,15.0
73,Leech Seed,Grass,d-,0,90%,10.0
74,Growth,Normal,a+,0,,40.0
75,Razor Leaf,Grass,Physical,55,95%,25.0
76,SolarBeam,Grass,Special,120,100%,10.0
77,PoisonPowder,Poison,d-,0,75%,35.0
78,Stun Spore,Grass,s-,0,75%,30.0
79,Sleep Powder,Grass,s-,0,75%,15.0
80,Petal Dance,Grass,Special,120,100%,10.0
81,String Shot,Bug,s-,0,95%,40.0
82,Dragon Rage,Dragon,Special,40,100%,10.0
83,Fire Spin,Fire,Special,35,85%,15.0
84,ThunderShock,Electric,Special,40,100%,30.0
85,Thunderbolt,Electric,Special,95,100%,15.0
86,Thunder Wave,Electric,s-,0,100%,20.0
87,Thunder,Electric,Special,120,70%,10.0
88,Rock Throw,Rock,Physical,50,90%,15.0
89,Earthquake,Ground,Physical,100,100%,10.0
90,Fissure,Ground,Physical,0,30%,5.0
91,Dig,Ground,Physical,80,100%,10.0
