#,Name   ,Type   ,Special,Power,Accuracy,PP   
1,Pound,Normal,Physical,40,100%,35.0
2,Karate Chop,Fighting,False,50,100%,25.0
3,DoubleSlap,Normal,False,15,85%,10.0
4,Comet Punch,Normal,False,18,85%,15.0
5,Mega Punch,Normal,False,80,85%,20.0
6,Pay Day,Normal,False,40,100%,20.0
7,Fire Punch,Fire,False,75,100%,15.0
8,Ice Punch,Ice,False,75,100%,15.0
9,ThunderPunch,Electric,False,75,100%,15.0
10,Scratch,Normal,False,40,100%,35.0
11,ViceGrip,Normal,False,55,100%,30.0
12,Guillotine,Normal,False,0,30%,5.0
13,Razor Wind,Normal,True,80,100%,10.0
14,Swords Dance,Normal,False,0,,30.0
15,Cut,Normal,False,50,95%,30.0
16,Gust,Flying,True,40,100%,35.0
17,Wing Attack,Flying,False,60,100%,35.0
18,Whirlwind,Normal,False,0,100%,20.0
19,Fly,Flying,False,90,95%,15.0
20,Bind,Normal,False,15,85%,20.0
21,Slam,Normal,False,80,75%,20.0
22,Vine Whip,Grass,False,35,100%,15.0
23,Stomp,Normal,False,65,100%,20.0
24,Double Kick,Fighting,False,30,100%,30.0
25,Mega Kick,Normal,False,120,75%,5.0
26,Jump Kick,Fighting,False,100,95%,10.0
27,Rolling Kick,Fighting,False,60,85%,15.0
28,Sand-Attack,Ground,False,0,100%,15.0
29,Headbutt,Normal,False,70,100%,15.0
30,Horn Attack,Normal,False,65,100%,25.0
31,Fury Attack,Normal,False,15,85%,20.0
32,Horn Drill,Normal,False,0,30%,5.0
33,Tackle,Normal,False,50,100%,35.0
34,Body Slam,Normal,False,85,100%,15.0
35,Wrap,Normal,False,15,90%,20.0
36,Take Down,Normal,False,90,85%,20.0
37,Thrash,Normal,False,120,100%,10.0
38,Double-Edge,Normal,False,120,100%,15.0
39,Tail Whip,Normal,False,0,100%,30.0
40,Poison Sting,Poison,False,15,100%,35.0
41,Twineedle,Bug,False,25,100%,20.0
42,Pin Missile,Bug,False,14,85%,20.0
43,Leer,Normal,False,0,100%,30.0
44,Bite,Dark,False,60,100%,25.0
45,Growl,Normal,False,0,100%,40.0
46,Roar,Normal,False,0,100%,20.0
47,Sing,Normal,False,0,55%,15.0
48,Supersonic,Normal,False,0,55%,20.0
49,SonicBoom,Normal,True,20,90%,20.0
50,Disable,Normal,False,0,100%,20.0
51,Acid,Poison,True,40,100%,30.0
52,Ember,Fire,True,40,100%,25.0
53,Flamethrower,Fire,True,95,100%,15.0
54,Mist,Ice,False,0,,30.0
55,Water Gun,Water,True,40,100%,25.0
56,Hydro Pump,Water,True,120,80%,5.0
57,Surf,Water,True,95,100%,15.0
58,Ice Beam,Ice,True,95,100%,10.0
59,Blizzard,Ice,True,120,70%,5.0
60,Psybeam,Psychic,True,65,100%,20.0
61,BubbleBeam,Water,True,65,100%,20.0
62,Aurora Beam,Ice,True,65,100%,20.0
63,Hyper Beam,Normal,True,150,90%,5.0
64,Peck,Flying,False,35,100%,35.0
65,Drill Peck,Flying,False,80,100%,20.0
66,Submission,Fighting,False,80,80%,25.0
67,Low Kick,Fighting,False,50,100%,20.0
68,Counter,Fighting,False,50,100%,20.0
69,Seismic Toss,Fighting,False,50,100%,20.0
70,Strength,Normal,False,80,100%,15.0
71,Absorb,Grass,True,20,100%,25.0
72,Mega Drain,Grass,True,40,100%,15.0
73,Leech Seed,Grass,False,0,90%,10.0
74,Growth,Normal,False,0,,40.0
75,Razor Leaf,Grass,False,55,95%,25.0
76,SolarBeam,Grass,True,120,100%,10.0
77,PoisonPowder,Poison,False,0,75%,35.0
78,Stun Spore,Grass,False,0,75%,30.0
79,Sleep Powder,Grass,False,0,75%,15.0
80,Petal Dance,Grass,True,120,100%,10.0
81,String Shot,Bug,False,0,95%,40.0
82,Dragon Rage,Dragon,True,40,100%,10.0
83,Fire Spin,Fire,True,35,85%,15.0
84,ThunderShock,Electric,True,40,100%,30.0
85,Thunderbolt,Electric,True,95,100%,15.0
86,Thunder Wave,Electric,False,0,100%,20.0
87,Thunder,Electric,True,120,70%,10.0
88,Rock Throw,Rock,False,50,90%,15.0
89,Earthquake,Ground,False,100,100%,10.0
90,Fissure,Ground,False,0,30%,5.0
91,Dig,Ground,False,80,100%,10.0
92,Toxic,Poison,False,0,90%,10.0
93,Confusion,Psychic,True,50,100%,25.0
94,Psychic,Psychic,True,90,100%,10.0
95,Hypnosis,Psychic,False,0,60%,20.0
96,Meditate,Psychic,False,0,,40.0
97,Agility,Psychic,False,0,,30.0
98,Quick Attack,Normal,False,40,100%,30.0
99,Rage,Normal,False,20,100%,20.0
100,Teleport,Psychic,False,0,,20.0
101,Night Shade,Ghost,True,50,100%,15.0
102,Mimic,Normal,False,0,100%,10.0
103,Screech,Normal,False,0,85%,40.0
104,Double Team,Normal,False,0,,15.0
105,Recover,Normal,False,0,,10.0
106,Harden,Normal,False,0,,30.0
107,Minimize,Normal,False,0,,20.0
108,SmokeScreen,Normal,False,0,100%,20.0
109,Confuse Ray,Ghost,False,0,100%,10.0
110,Withdraw,Water,False,0,,40.0
111,Defense Curl,Normal,False,0,,40.0
112,Barrier,Psychic,False,0,,30.0
113,Light Screen,Psychic,False,0,,30.0
114,Haze,Ice,False,0,,30.0
115,Reflect,Psychic,False,0,,20.0
116,Focus Energy,Normal,False,0,,30.0
117,Bide,Normal,False,50,100%,10.0
118,Metronome,Normal,False,0,,10.0
119,Mirror Move,Flying,False,0,,20.0
120,Selfdestruct,Normal,False,200,100%,5.0
121,Egg Bomb,Normal,False,100,75%,10.0
122,Lick,Ghost,False,20,100%,30.0
123,Smog,Poison,True,20,70%,20.0
124,Sludge,Poison,True,65,100%,20.0
125,Bone Club,Ground,False,65,85%,20.0
126,Fire Blast,Fire,True,120,85%,5.0
127,Waterfall,Water,False,80,100%,15.0
128,Clamp,Water,False,35,85%,10.0
129,Swift,Normal,True,60,101%,20.0
130,Skull Bash,Normal,False,100,100%,15.0
131,Spike Cannon,Normal,False,20,100%,15.0
132,Constrict,Normal,False,10,100%,35.0
133,Amnesia,Psychic,False,0,,20.0
134,Kinesis,Psychic,False,0,80%,15.0
135,Softboiled,Normal,False,0,100%,10.0
136,Hi Jump Kick,Fighting,False,130,90%,10.0
137,Glare,Normal,False,0,90%,30.0
138,Dream Eater,Psychic,True,100,100%,15.0
139,Poison Gas,Poison,False,0,90%,40.0
140,Barrage,Normal,False,15,85%,20.0
141,Leech Life,Bug,False,20,100%,15.0
142,Lovely Kiss,Normal,False,0,75%,10.0
143,Sky Attack,Flying,False,140,90%,5.0
144,Transform,Normal,False,0,,10.0
145,Bubble,Water,True,20,100%,30.0
146,Dizzy Punch,Normal,False,70,100%,10.0
147,Spore,Grass,False,0,100%,15.0
148,Flash,Normal,False,0,100%,20.0
149,Psywave,Psychic,True,50,80%,15.0
150,Splash,Normal,False,0,,40.0
151,Acid Armor,Poison,False,0,,40.0
152,Crabhammer,Water,False,90,90%,10.0
153,Explosion,Normal,False,250,100%,5.0
